NRHP reference number,Name,Locality,Locality,Coordinates,County
75001270,Massenburg Plantation,"Louisburg
36°7′6″N 78°16′8″W",Louisburg,36°7′6″N 78°16′8″W,Franklin
72000964,Richard Mendenhall Plantation Buildings,"Jamestown
35°59′34″N 79°56′56″W",Jamestown,35°59′34″N 79°56′56″W,Guilford
7000543,Midway Plantation House and Outbuildings,"Knightdale
35°49′24.60″N 78°29′39.25″W",Knightdale,35°49′24.60″N 78°29′39.25″W,Wake
83001904,Mills-Screven Plantation,"Tryon
35°13′20″N 82°15′4″W",Tryon,35°13′20″N 82°15′4″W,Tryon
70000474,Mordecai House,"Raleigh 
35°47′33.27″N 78°38′0.14″W",Raleigh ,35°47′33.27″N 78°38′0.14″W,Wake
74001354,Mount Mourne Plantation,"Mooresville
35.538611°N 80.849444°W",Mooresville,35.538611°N 80.849444°W,Iredell
98000689,Oakforest,Wake Forest,Wake Forest,,Wake
72000924,Oakland Plantation,Carvers,Carvers,,Bladen
80002829,Oakland Plantation,"Tarboro
35°53′47″N 77°32′27″W",Tarboro,35°53′47″N 77°32′27″W,Edgecombe
93001021,Oaky Grove Plantation,"Shotwell
35°44′24.80″N 78°26′24.63″W",Shotwell,35°44′24.80″N 78°26′24.63″W,Wake
91000359,Historic Oak View,Raleigh,Raleigh,,Wake
79003338,Palo Alto Plantation,Palopato,Palopato,,Onslow
75001263,Dr. Samuel Perry House,"Gupton
36°11′52″N 78°9′6″W",Gupton,36°11′52″N 78°9′6″W,Franklin
NCPEDIA[20],Poplar Grove Plantation,"Scott's Hill (Wilmington)
34°19′13″N 77°45′55″W",Scott's Hill (Wilmington),34°19′13″N 77°45′55″W,"Onslow County, North Carolina"
79003346,Poplar Grove,"Scott's Hill (Wilmington)
34°19′13″N 77°45′55″W",Scott's Hill (Wilmington),34°19′13″N 77°45′55″W,"Onslow County, North Carolina"
,Poplar Hill,Hillsborough,Hillsborough,,Orange
78001977,Pool Rock Plantation,"Williamsboro
36°27′17″N 78°25′4″W",Williamsboro,36°27′17″N 78°25′4″W,Vance
